scheme_name,category_type,min_age,max_age,max_annual_income,applicable_state,social_category,occupation,gender,description,benefits,apply_link,deadline,form_link
Pradhan Mantri Adarsh Gram Yojana,Rural Development,,,,All,SC,All,All,Integrated development of villages with SC population,Infrastructure and socio-economic development,https://www.myscheme.gov.in,,
Pradhan Mantri Jan Vikas Karyakram,Rural Development,,,,All,Minority,All,All,Development of minority concentration areas,Infrastructure development in minority areas,https://www.myscheme.gov.in,,
Nai Udaan Scheme,Education,18.0,,,All,Minority,Student,All,Support for minority candidates clearing prelims of civil services,Financial assistance during mains preparation,https://www.myscheme.gov.in,,
Rashtriya Vayoshri Yojana for Divyangjan,Disability Welfare,,,,All,All,Disabled,All,Physical aids and assisted living devices for senior disabled citizens,Free assistive devices,https://www.myscheme.gov.in,,
One Rank One Pension,Social Welfare,,,,All,All,Ex-Serviceman,All,Uniform pension for same rank and service length,Equalized pension irrespective of retirement date,https://www.myscheme.gov.in,,
Ex-Servicemen Contributory Health Scheme,Health,,,,All,All,Ex-Serviceman,All,Healthcare for ex-servicemen and dependents,Cashless treatment at empanelled hospitals,https://www.myscheme.gov.in,,
PM Scholarship Scheme for CAPF Wards,Education,18.0,,,All,All,Student,All,Scholarship for children of CAPF and Assam Rifles personnel,Scholarship for professional degree courses,https://www.myscheme.gov.in,,
War Widow Pension Scheme,Social Welfare,,,,All,All,All,Female,Pension for widows of armed forces personnel killed in action,Monthly pension and dependent benefits,https://www.myscheme.gov.in,,
Bharat Ke Veer Fund,Social Welfare,,,,All,All,Ex-Serviceman,All,Financial support to families of martyred soldiers,Corpus fund contribution to families of martyrs,https://www.myscheme.gov.in,,
Swachh Bharat Mission Urban,Sanitation,,,,All,All,All,All,Urban sanitation and cleanliness programme,Construction of toilets and solid waste management,https://www.myscheme.gov.in,,
Swachh Bharat Mission Gramin,Sanitation,,,,All,All,All,All,Rural sanitation and cleanliness programme,Construction of household toilets in villages,https://www.myscheme.gov.in,,
Atal Mission for Rejuvenation and Urban Transformation (AMRUT),Urban Development,,,,All,All,All,All,Basic urban infrastructure development,"Water supply, sewerage and urban infrastructure",https://www.myscheme.gov.in,,
Smart Cities Mission,Urban Development,,,,All,All,All,All,Development of smart and sustainable cities,Core infrastructure and smart solutions in cities,https://www.myscheme.gov.in,,
Antyodaya Anna Yojana,Food Security,,,,All,BPL,All,All,Highly subsidized food grains for poorest families,35 kg food grains per month at subsidized rates,https://www.myscheme.gov.in,,
PM Garib Kalyan Anna Yojana,Food Security,,,,All,BPL,All,All,Free food grains during economic distress,Free food grains under National Food Security Act,https://www.myscheme.gov.in,,
UP Kanya Sumangala Yojana,Education/Savings,0.0,18.0,300000.0,Uttar Pradesh,All,All,Female,Financial support scheme for girl child from birth to graduation,Total Rs 25000 in installments from birth till graduation,https://mksy.up.gov.in,,https://mksy.up.gov.in
UP Vidhwa Pension Yojana,Social Welfare,18.0,,200000.0,Uttar Pradesh,All,All,Female,Pension for widows in Uttar Pradesh,Monthly pension assistance,https://www.myscheme.gov.in,,
UP Viklang Pension Yojana,Disability Welfare,18.0,,,Uttar Pradesh,All,Disabled,All,Pension for persons with disability,Monthly pension assistance,https://www.myscheme.gov.in,,
UP Vridha Pension Yojana,Social Welfare,60.0,,,Uttar Pradesh,BPL,Senior Citizen,All,Old age pension scheme for Uttar Pradesh residents,Monthly pension assistance,https://www.myscheme.gov.in,,
UP Free Laptop/Tablet Distribution Scheme,Education,15.0,,,Uttar Pradesh,All,Student,All,Distribution of free laptops/tablets to students,Free laptop or tablet for meritorious students,https://www.myscheme.gov.in,,
UP Mukhyamantri Berojgari Bhatta Yojana,Employment,18.0,40.0,,Uttar Pradesh,All,Unemployed Youth,All,Unemployment allowance for educated youth,Monthly unemployment allowance,https://www.myscheme.gov.in,,
UP Shadi Anudan Yojana,Social Welfare,18.0,,200000.0,Uttar Pradesh,SC/ST/OBC/Minority,All,Female,Financial assistance for marriage of daughters from poor families,One-time grant for daughter's marriage,https://www.myscheme.gov.in,,
UP Free Boring Yojana,Agriculture,18.0,,200000.0,Uttar Pradesh,All,Farmer,All,Subsidy for boring/tube well installation for irrigation,Subsidy on boring and pump set installation,https://www.myscheme.gov.in,,
UP Kisan Uday Yojana,Agriculture,18.0,,,Uttar Pradesh,All,Farmer,All,Support scheme for farmers in Uttar Pradesh,Financial assistance for agricultural inputs,https://www.myscheme.gov.in,,
UP One District One Product Scheme,Financial Inclusion,18.0,,,Uttar Pradesh,All,Entrepreneur,All,Promotion of district-specific traditional products,Subsidy and market linkage for local artisans,https://www.myscheme.gov.in,,
UP Mukhyamantri Yuva Swarozgar Yojana,Financial Inclusion,18.0,40.0,,Uttar Pradesh,All,Unemployed Youth,All,Self-employment scheme for youth,Subsidized loans for setting up small enterprises,https://www.myscheme.gov.in,,
Bihar Kanya Utthan Yojana,Education/Savings,0.0,18.0,200000.0,Bihar,All,All,Female,Financial support scheme for girl child in stages,Financial support in stages till graduation,https://www.myscheme.gov.in,,
Bihar Mukhyamantri Kanya Vivah Yojana,Social Welfare,18.0,,,Bihar,BPL,All,Female,Financial assistance for marriage of daughters from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Bihar Mukhyamantri Vridha Pension Yojana,Social Welfare,60.0,,,Bihar,All,Senior Citizen,All,Old age pension scheme for Bihar residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Bihar Nishakta Pension Yojana,Disability Welfare,18.0,,,Bihar,All,Disabled,All,Pension for persons with disability in Bihar,Monthly pension assistance,https://www.myscheme.gov.in,,
Bihar Student Credit Card Scheme,Education,18.0,,,Bihar,All,Student,All,Education loan facility for higher studies,Loan up to Rs 4 lakh at low interest rate,https://www.myscheme.gov.in,,
Bihar Mukhyamantri Bekari Bhatta Yojana,Employment,20.0,25.0,,Bihar,All,Unemployed Youth,All,Unemployment allowance for educated youth,Monthly financial assistance during job search,https://www.myscheme.gov.in,,
Bihar Kushal Yuva Karyakram,Skill Development,15.0,25.0,,Bihar,All,Unemployed Youth,All,Skill development programme for youth,Free training in communication and computer skills,https://www.myscheme.gov.in,,
Bihar Laghu Udyami Yojana,Financial Inclusion,18.0,,200000.0,Bihar,BPL,Entrepreneur,All,Financial assistance to set up small enterprises,Grant of up to Rs 2 lakh for small businesses,https://www.myscheme.gov.in,,
Bihar Mukhyamantri Balak-Balika Cycle Yojana,Education,,,,Bihar,All,Student,All,Free bicycles for school students,Free bicycle to promote school attendance,https://www.myscheme.gov.in,,
Bihar Saat Nishchay Yojana,Rural Development,,,,Bihar,All,All,All,Seven-point development programme for the state,"Infrastructure, education and employment initiatives",https://www.myscheme.gov.in,,
Bihar Krishi Input Subsidy Scheme,Agriculture,18.0,,,Bihar,All,Farmer,All,Compensation to farmers for crop loss due to natural calamities,Subsidy for agricultural inputs after crop damage,https://www.myscheme.gov.in,,
Majhi Ladki Bahin Yojana,Social Welfare,21.0,65.0,,Maharashtra,All,All,Female,Monthly financial assistance to women from low income families,Rs 1500 monthly assistance,https://www.myscheme.gov.in,,
Lek Ladki Yojana,Education/Savings,0.0,18.0,100000.0,Maharashtra,All,All,Female,Financial support scheme for girl child education,Financial assistance in installments till age 18,https://womenchild.maharashtra.gov.in,,
Mahatma Jyotirao Phule Jan Arogya Yojana,Health,,,100000.0,Maharashtra,All,All,All,Health insurance for economically weaker families,Cashless treatment up to Rs 5 lakh per family,https://www.myscheme.gov.in,,
Rajarshi Chhatrapati Shahu Maharaj Scholarship,Education,18.0,,800000.0,Maharashtra,All,Student,All,Fee reimbursement for economically weaker students,Full tuition fee reimbursement,https://www.myscheme.gov.in,,
Maharashtra Berojgar Bhatta Yojana,Employment,18.0,35.0,,Maharashtra,All,Unemployed Youth,All,Unemployment allowance for job-seeking youth,Monthly unemployment allowance,https://www.myscheme.gov.in,,
Shravan Bal Seva Rajya Nivrutti Vetan Yojana,Social Welfare,65.0,,,Maharashtra,BPL,Senior Citizen,All,Old age pension scheme for Maharashtra residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Mukhyamantri Saur Krishi Vahini Yojana,Energy,18.0,,,Maharashtra,All,Farmer,All,Solar power supply for agricultural feeders,Reliable daytime power supply for irrigation,https://www.myscheme.gov.in,,
Manodhairya Yojana,Social Welfare,,,,Maharashtra,All,All,Female,Financial assistance to victims of sexual assault,Financial assistance and rehabilitation support,https://www.myscheme.gov.in,,
Ladli Laxmi Yojana,Education/Savings,0.0,21.0,,Madhya Pradesh,All,All,Female,Financial support scheme for girl child welfare and education,Scholarship installments and maturity amount at age 21,https://www.myscheme.gov.in,,
MP Mukhyamantri Kanya Vivah Yojana,Social Welfare,18.0,,,Madhya Pradesh,BPL,All,Female,Financial assistance for marriage of daughters from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
MP Sambal Yojana,Social Welfare,18.0,,,Madhya Pradesh,BPL,Unorganized Worker,All,Social security for unorganized sector workers,"Accident insurance, education and pension benefits",https://www.myscheme.gov.in,,
MP Mukhyamantri Seekho Kamao Yojana,Skill Development,18.0,29.0,,Madhya Pradesh,All,Unemployed Youth,All,On-the-job training with stipend for youth,Monthly stipend during on-the-job training,https://www.myscheme.gov.in,,
MP Mukhyamantri Tirth Darshan Yojana,Social Welfare,60.0,,,Madhya Pradesh,All,Senior Citizen,All,Free pilgrimage tour for senior citizens,Free travel and accommodation for pilgrimage,https://www.myscheme.gov.in,,
MP Kisan Kalyan Yojana,Agriculture,18.0,,,Madhya Pradesh,All,Farmer,All,Additional income support for farmers,Additional financial assistance to farmers,https://www.myscheme.gov.in,,
MP Vridhajan Pension Yojana,Social Welfare,60.0,,,Madhya Pradesh,BPL,Senior Citizen,All,Old age pension scheme for Madhya Pradesh residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Rajasthan Mukhyamantri Chiranjeevi Swasthya Bima Yojana,Health,,,,Rajasthan,All,All,All,Cashless health insurance for all families,Health cover up to Rs 25 lakh per family per year,https://www.myscheme.gov.in,,
Rajasthan Kalibai Bheel Scooty Yojana,Education,15.0,,,Rajasthan,ST,Student,Female,Free scooty for meritorious tribal girl students,Free two-wheeler for higher education students,https://www.myscheme.gov.in,,
Rajasthan Mukhyamantri Yuva Sambal Yojana,Employment,18.0,35.0,,Rajasthan,All,Unemployed Youth,All,Unemployment allowance for educated unemployed youth,Monthly unemployment allowance,https://www.myscheme.gov.in,,
Rajasthan Old Age Pension Scheme,Social Welfare,58.0,,,Rajasthan,BPL,Senior Citizen,All,Old age pension scheme for Rajasthan residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Rajasthan Palanhar Yojana,Child Welfare,0.0,18.0,,Rajasthan,All,All,All,Support for orphaned and vulnerable children,Monthly financial assistance for child care,https://www.myscheme.gov.in,,
Rajasthan Mukhyamantri Rajshri Yojana,Health,0.0,,,Rajasthan,All,All,Female,Financial assistance for girl child birth and education,Cash assistance in installments from birth to class 12,https://www.myscheme.gov.in,,
Rajasthan Devnarayan Yojana,Education,0.0,,,Rajasthan,ST,Student,Female,Financial assistance for tribal girl child education,Scholarship installments till graduation,https://www.myscheme.gov.in,,
Rajasthan Anuprati Coaching Yojana,Education,18.0,,800000.0,Rajasthan,SC/ST/OBC/EWS,Student,All,Free coaching for competitive examinations,Free coaching for civil services and other exams,https://www.myscheme.gov.in,,
Kanyashree Prakalpa,Education,13.0,19.0,,West Bengal,All,Student,Female,Conditional cash transfer to keep girls in school,Annual scholarship and one-time grant at age 18,https://www.myscheme.gov.in,,
Rupashree Prakalpa,Social Welfare,18.0,,150000.0,West Bengal,BPL,All,Female,Financial assistance for marriage of daughters from poor families,One-time grant of Rs 25000 for marriage,https://www.myscheme.gov.in,,
Swasthya Sathi Scheme,Health,,,,West Bengal,All,All,All,Health insurance scheme for all families,Cashless treatment up to Rs 5 lakh per family per year,https://www.myscheme.gov.in,,
Sabooj Sathi Scheme,Education,,,,West Bengal,All,Student,All,Free bicycle distribution to school students,Free bicycle for class 9-12 students,https://www.myscheme.gov.in,,
Lakshmir Bhandar Scheme,Social Welfare,25.0,60.0,,West Bengal,All,All,Female,Monthly financial assistance to women heads of households,Monthly cash assistance,https://www.myscheme.gov.in,,
Krishak Bandhu Scheme,Agriculture,18.0,,,West Bengal,All,Farmer,All,Financial assistance and life insurance for farmers,Annual financial assistance and death benefit cover,https://www.myscheme.gov.in,,
Jai Bangla Pension Scheme,Social Welfare,60.0,,,West Bengal,BPL,Senior Citizen,All,Consolidated pension scheme for elderly and disabled,Monthly pension assistance,https://www.myscheme.gov.in,,
Chief Minister's Comprehensive Health Insurance Scheme,Health,,,120000.0,Tamil Nadu,All,All,All,Health insurance cover for low income families,Cashless treatment up to Rs 5 lakh per family,https://www.myscheme.gov.in,,
Pudhumai Penn Scheme,Education,18.0,,,Tamil Nadu,All,Student,Female,Monthly financial assistance to girl students in higher secondary and college,Monthly stipend for continuing education,https://www.myscheme.gov.in,,
Tamil Nadu Free Bus Travel Scheme for Women,Social Welfare,,,,Tamil Nadu,All,All,Female,Free bus travel for women in state transport buses,Free travel on ordinary bus services,https://www.myscheme.gov.in,,
Dr Muthulakshmi Reddy Maternity Benefit Scheme,Health,18.0,,,Tamil Nadu,All,All,Female,Financial assistance for pregnant women workers,Cash assistance during pregnancy and after delivery,https://www.myscheme.gov.in,,
Tamil Nadu Marriage Assistance Scheme,Social Welfare,18.0,,,Tamil Nadu,BPL,All,Female,Financial assistance for marriage of daughters of widows,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,Social Welfare,18.0,,,Tamil Nadu,All,All,Female,Marriage assistance for graduate women from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Gruha Lakshmi Scheme,Social Welfare,18.0,,,Karnataka,All,All,Female,Monthly financial assistance to women heads of families,Rs 2000 monthly assistance,https://www.myscheme.gov.in,,
Anna Bhagya Scheme,Food Security,,,,Karnataka,BPL,All,All,Free rice distribution to BPL families,10 kg free rice per person per month,https://www.myscheme.gov.in,,
Gruha Jyothi Scheme,Energy,,,,Karnataka,All,All,All,Free electricity up to a monthly limit for households,Up to 200 units free electricity per month,https://www.myscheme.gov.in,,
Shakti Scheme,Social Welfare,,,,Karnataka,All,All,Female,Free bus travel for women in state transport buses,Free travel on non-premium state buses,https://www.myscheme.gov.in,,
Yuva Nidhi Scheme,Employment,18.0,,,Karnataka,All,Unemployed Youth,All,Unemployment allowance for graduates and diploma holders,Monthly unemployment allowance for 2 years,https://www.myscheme.gov.in,,
Vidyasiri Scholarship,Education,18.0,,250000.0,Karnataka,SC/ST/OBC,Student,All,Scholarship and hostel facility for backward class students,Scholarship and free hostel accommodation,https://www.myscheme.gov.in,,
Krishi Bhagya Scheme,Agriculture,18.0,,,Karnataka,All,Farmer,All,Rainwater harvesting and farm pond support for dryland farmers,Subsidy for farm ponds and micro irrigation,https://www.myscheme.gov.in,,
YSR Rythu Bharosa,Agriculture,18.0,,,Andhra Pradesh,All,Farmer,All,Income support scheme for farmer families,Annual financial assistance to farmer families,https://www.myscheme.gov.in,,
YSR Aarogyasri,Health,,,500000.0,Andhra Pradesh,All,All,All,Health insurance scheme for economically weaker families,Cashless treatment for listed diseases,https://www.myscheme.gov.in,,
Amma Vodi Scheme,Education,,,,Andhra Pradesh,All,Student,Female,Financial assistance to mothers for children's education,Annual financial assistance per child in school,https://www.myscheme.gov.in,,
YSR Pension Kanuka,Social Welfare,60.0,,,Andhra Pradesh,BPL,Senior Citizen,All,Enhanced pension scheme for elderly and vulnerable groups,Monthly pension assistance,https://www.myscheme.gov.in,,
YSR Sunna Vaddi Scheme,Financial Inclusion,18.0,,,Andhra Pradesh,All,Women,Female,Interest-free loans for women self-help groups,Zero interest on timely loan repayment,https://www.myscheme.gov.in,,
Rythu Bandhu Scheme,Agriculture,18.0,,,Telangana,All,Farmer,All,Investment support scheme for farmers,Financial assistance per acre for crop investment,https://www.myscheme.gov.in,,
Kalyana Lakshmi Scheme,Social Welfare,18.0,,200000.0,Telangana,SC/ST/BC/Minority,All,Female,Financial assistance for marriage of daughters from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Telangana Aasara Pension Scheme,Social Welfare,57.0,,,Telangana,BPL,Senior Citizen,All,Social security pension for vulnerable groups,Monthly pension assistance,https://www.myscheme.gov.in,,
KCR Kit Scheme,Health,18.0,,,Telangana,All,All,Female,Nutrition kit for pregnant women and newborns,Free nutrition kit and cash incentive for institutional delivery,https://www.myscheme.gov.in,,
Dalit Bandhu Scheme,Financial Inclusion,18.0,,,Telangana,SC,Entrepreneur,All,Financial assistance for SC families to start enterprises,One-time grant of Rs 10 lakh per family,https://www.myscheme.gov.in,,
Vahli Dikri Yojana,Education/Savings,0.0,18.0,600000.0,Gujarat,All,All,Female,Financial support scheme for girl child education,Cash assistance in installments till age 18,https://www.myscheme.gov.in,,
Mukhyamantri Amrutam Yojana,Health,,,400000.0,Gujarat,All,All,All,Health insurance scheme for low income families,Cashless treatment up to Rs 5 lakh per family,https://www.myscheme.gov.in,,
Manav Kalyan Yojana,Financial Inclusion,18.0,,,Gujarat,All,Unorganized Worker,All,Toolkit assistance for self-employment,Free toolkits for artisans and small business owners,https://www.myscheme.gov.in,,
Gujarat Kanya Kelavani Yojana,Education,6.0,,,Gujarat,All,Student,Female,Promotion of girl child education in Gujarat,Enrollment drives and educational support,https://www.myscheme.gov.in,,
Mukhyamantri Kisan Sahay Yojana,Agriculture,18.0,,,Gujarat,All,Farmer,All,Compensation for crop loss due to natural calamities,Financial assistance for crop damage,https://www.myscheme.gov.in,,
Punjab Shagun Scheme,Social Welfare,18.0,,,Punjab,SC/BPL,All,Female,Financial assistance for marriage of daughters from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Punjab Old Age Pension Scheme,Social Welfare,65.0,,,Punjab,BPL,Senior Citizen,All,Old age pension scheme for Punjab residents,Monthly pension assistance,https://www.myscheme.gov.in,,
Ashirwad Scheme,Social Welfare,18.0,,,Punjab,SC/BPL,All,Female,Financial assistance for marriage of girls from BPL families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Haryana Ladli Scheme,Education/Savings,0.0,,,Haryana,All,All,Female,Financial support scheme for second girl child,Cash assistance in installments till age 18,https://www.myscheme.gov.in,,
Haryana Kanyadaan Yojana,Social Welfare,18.0,,,Haryana,SC/BPL,All,Female,Financial assistance for marriage of daughters from poor families,One-time cash assistance for marriage,https://www.myscheme.gov.in,,
Mukhyamantri Parivar Samridhi Yojana,Social Welfare,,,180000.0,Haryana,BPL,All,All,Financial assistance and insurance for low income families,Annual financial assistance and insurance cover,https://www.myscheme.gov.in,,
KALIA Scheme,Agriculture,18.0,,,Odisha,All,Farmer,All,Livelihood and income support scheme for farmers,Financial assistance for cultivation and livelihood support,https://www.myscheme.gov.in,,
Biju Swasthya Kalyan Yojana,Health,,,,Odisha,All,All,All,Health insurance scheme for Odisha residents,Cashless treatment up to Rs 5 lakh per family,https://www.myscheme.gov.in,,
Madhu Babu Pension Yojana,Social Welfare,60.0,,,Odisha,BPL,Senior Citizen,All,Old age and disability pension scheme,Monthly pension assistance,https://www.myscheme.gov.in,,
Mission Shakti Odisha,Financial Inclusion,18.0,,,Odisha,All,Women,Female,Support for women self-help groups,Interest-free loans and capacity building for SHGs,https://www.myscheme.gov.in,,
Kerala Karunya Health Scheme,Health,,,300000.0,Kerala,All,All,All,Financial assistance for treatment of critical illnesses,Financial assistance up to Rs 3 lakh for treatment,https://www.myscheme.gov.in,,
Kerala Aardram Mission,Health,,,,Kerala,All,All,All,Transformation of primary healthcare centers,Improved healthcare infrastructure and services,https://www.myscheme.gov.in,,
Kerala Vidyashree Scholarship,Education,18.0,,800000.0,Kerala,All,Student,All,Scholarship for professional degree students,Financial assistance for tuition and other fees,https://www.myscheme.gov.in,,
Assam Orunodoi Scheme,Social Welfare,,,200000.0,Assam,BPL,All,Female,Direct cash transfer to women in economically weak families,Monthly cash assistance,https://www.myscheme.gov.in,,
Assam Chief Minister's Samagra Gramya Unnayan Yojana,Rural Development,,,,Assam,All,All,All,Comprehensive rural development scheme,Infrastructure and livelihood support in villages,https://www.myscheme.gov.in,,
Jharkhand Mukhyamantri Sukanya Yojana,Education/Savings,0.0,18.0,,Jharkhand,All,All,Female,Financial support scheme for girl child education,Cash assistance in installments till age 18,https://www.myscheme.gov.in,,
Jharkhand Mukhyamantri Rojgar Srijan Yojana,Financial Inclusion,18.0,,,Jharkhand,All,Unemployed Youth,All,Self-employment scheme for youth,Subsidized loans for setting up small enterprises,https://www.myscheme.gov.in,,
Chhattisgarh Rajiv Gandhi Kisan Nyay Yojana,Agriculture,18.0,,,Chhattisgarh,All,Farmer,All,Income support scheme for farmers,Financial assistance per acre of cultivated land,https://www.myscheme.gov.in,,
Chhattisgarh Mahtari Vandan Yojana,Social Welfare,21.0,,,Chhattisgarh,All,All,Female,Monthly financial assistance to married women,Rs 1000 monthly assistance,https://www.myscheme.gov.in,,
Delhi Mukhyamantri Mahila Samman Yojana,Social Welfare,18.0,,,Delhi,All,All,Female,Monthly financial assistance to women residents,Monthly cash assistance,https://www.myscheme.gov.in,,
Delhi Free Bus Travel Scheme for Women,Social Welfare,,,,Delhi,All,All,Female,Free bus travel for women in DTC and cluster buses,Free travel on public buses,https://www.myscheme.gov.in,,
Himachal Pradesh Mukhyamantri Sukh Ashray Yojana,Child Welfare,0.0,27.0,,Himachal Pradesh,All,All,All,Support for orphaned and destitute children,Financial and educational support till self-reliance,https://www.myscheme.gov.in,,
Uttarakhand Nanda Gaura Yojana,Education/Savings,0.0,,,Uttarakhand,All,All,Female,Financial assistance for girl child birth and higher education,Cash assistance at birth and after class 12,https://www.myscheme.gov.in,,
Namami Gange Programme,Environment,,,,All,All,All,All,Conservation and rejuvenation of river Ganga,Pollution abatement and river front development,https://www.myscheme.gov.in,,
National Clean Air Programme,Environment,,,,All,All,All,All,Reduction of air pollution in cities,City-specific action plans for air quality improvement,https://www.myscheme.gov.in,,
Compensatory Afforestation Fund Management Scheme,Environment,,,,All,All,All,All,Afforestation to compensate for forest land diversion,Funding for afforestation and forest management,https://www.myscheme.gov.in,,
National Mission for Clean Ganga,Environment,,,,All,All,All,All,Institutional mechanism for Ganga rejuvenation,Sewage treatment and river conservation projects,https://www.myscheme.gov.in,,
Swadesh Darshan Scheme,Tourism,,,,All,All,All,All,Development of theme-based tourist circuits,Infrastructure development at tourist destinations,https://www.myscheme.gov.in,,
PRASHAD Scheme,Tourism,,,,All,All,All,All,Pilgrimage rejuvenation and spiritual augmentation drive,Infrastructure development at pilgrimage sites,https://www.myscheme.gov.in,,
Dekho Apna Desh Scheme,Tourism,,,,All,All,All,All,Promotion of domestic tourism,Awareness campaigns for domestic tourist destinations,https://www.myscheme.gov.in,,
Khelo India Programme,Sports,8.0,,,All,All,Student,All,Grassroots sports development programme,Scholarships and infrastructure for young athletes,https://www.myscheme.gov.in,,
National Sports Talent Search Scheme,Sports,8.0,14.0,,All,All,Student,All,Identification and nurturing of sports talent,Scholarship for training and equipment,https://www.myscheme.gov.in,,
Target Olympic Podium Scheme,Sports,,,,All,All,Athlete,All,Support for elite athletes for Olympic preparation,Customized training and financial support,https://www.myscheme.gov.in,,
PM Gati Shakti,Infrastructure,,,,All,All,All,All,Multi-modal connectivity infrastructure planning,Integrated infrastructure development across sectors,https://www.myscheme.gov.in,,
Bharatmala Pariyojana,Infrastructure,,,,All,All,All,All,Development of national highway network,Construction and upgradation of highways,https://www.myscheme.gov.in,,
Sagarmala Programme,Infrastructure,,,,All,All,All,All,Port-led development and modernization,Port infrastructure and connectivity development,https://www.myscheme.gov.in,,
UDAN Scheme,Aviation,,,,All,All,All,All,Regional air connectivity scheme,Affordable air travel to underserved regions,https://www.myscheme.gov.in,,
National Digital Payments Mission,Digital Services,,,,All,All,All,All,Promotion of digital payment adoption,Cashback and incentives for digital transactions,https://www.myscheme.gov.in,,
Aadhaar Enabled Payment System,Financial Inclusion,18.0,,,All,All,All,All,Bank transactions using Aadhaar authentication,Basic banking services at doorstep,https://www.myscheme.gov.in,,
PM Vaya Vandana Bima Yojana Extension,Social Welfare,60.0,,,All,All,Senior Citizen,All,Extended pension scheme window for senior citizens,Guaranteed pension for additional cohort of subscribers,https://www.licindia.in,,
Direct Benefit Transfer LPG Scheme,Energy,,,,All,All,All,All,Direct subsidy transfer for LPG cylinders,LPG subsidy credited directly to bank account,https://www.myscheme.gov.in,,
National Career Counselling Programme,Employment,15.0,,,All,All,Student,All,Career guidance for students and job seekers,Free career counselling sessions,https://www.myscheme.gov.in,,
Scheme for Adolescent Girls (SAG),Child Welfare,11.0,14.0,,All,All,Student,Female,Nutrition and skill development for out-of-school adolescent girls,Nutritional support and life skills training,https://www.myscheme.gov.in,,
Poshan Abhiyaan,Health,0.0,6.0,,All,All,All,All,National nutrition mission to reduce stunting and malnutrition,Convergence-based nutrition intervention,https://www.myscheme.gov.in,,
National Nutrition Mission,Health,0.0,6.0,,All,All,All,All,Comprehensive nutrition strategy for women and children,Community based nutrition monitoring and interventions,https://www.myscheme.gov.in,,
Rashtriya Uchchatar Shiksha Abhiyan,Education,,,,All,All,Student,All,Improvement of quality of higher education institutions,Infrastructure and quality grants to state universities,https://www.myscheme.gov.in,,
PM Research Fellowship,Education,21.0,,,All,All,Student,All,Fellowship for PhD students in premier institutions,Enhanced fellowship for doctoral research,https://www.myscheme.gov.in,,
Global Initiative of Academic Networks (GIAN),Education,,,,All,All,Student,All,Foreign faculty engagement in Indian institutions,Access to courses by international faculty,https://www.myscheme.gov.in,,
SWAYAM Scheme,Education,,,,All,All,Student,All,Free online courses for students,Free access to online courses and certification,https://swayam.gov.in,,
National Digital Library of India,Education,,,,All,All,Student,All,Digital repository of educational resources,"Free access to books, journals and educational content",https://www.myscheme.gov.in,,
PM e-Vidya,Education,,,,All,All,Student,All,Multi-mode access to digital education,"TV channels, radio and online content for education",https://www.myscheme.gov.in,,
Vidyanjali Scheme,Education,,,,All,All,Student,All,Community and volunteer participation in schools,Volunteer support for schools in infrastructure and teaching,https://www.myscheme.gov.in,,
PM POSHAN Shakti Nirman,Health,5.0,14.0,,All,All,Student,All,Nutrition supplement scheme under mid-day meal programme,Additional nutritional supplements in school meals,https://www.myscheme.gov.in,,
National Livestock Mission,Agriculture,18.0,,,All,All,Farmer,All,Sustainable development of livestock sector,Support for entrepreneurship in livestock rearing,https://www.myscheme.gov.in,,
Dairy Processing and Infrastructure Development Fund,Agriculture,18.0,,,All,All,Farmer,All,Modernization of milk processing infrastructure,Loans for dairy infrastructure development,https://www.myscheme.gov.in,,
Blue Revolution Scheme,Agriculture,18.0,,,All,All,Fisherman,All,Integrated development of fisheries sector,Financial assistance for fisheries infrastructure,https://www.myscheme.gov.in,,
PM Matsya Kisan Samridhi Sah-Yojana,Agriculture,18.0,,,All,All,Fisherman,All,Financial assistance for fish farmers,Subsidy on aquaculture insurance and registration,https://www.myscheme.gov.in,,
Green Revolution - Krishonnati Yojana,Agriculture,18.0,,,All,All,Farmer,All,Umbrella scheme for agricultural development,Integrated support across cropping systems,https://www.myscheme.gov.in,,
National Mission on Oilseeds and Oil Palm,Agriculture,18.0,,,All,All,Farmer,All,Increasing production of edible oilseeds,Support for oil palm cultivation and processing,https://www.myscheme.gov.in,,
National Mission for Sustainable Agriculture,Agriculture,18.0,,,All,All,Farmer,All,Climate resilient agricultural practices,Support for sustainable farming techniques,https://www.myscheme.gov.in,,
National Apprenticeship Certificate Scheme (NATS),Skill Development,18.0,,,All,All,Student,All,Apprenticeship for technical graduates and diploma holders,Monthly stipend during apprenticeship training,https://www.myscheme.gov.in,,
National Urban Health Mission,Health,,,,All,All,All,All,Healthcare access for urban poor populations,Primary healthcare services in urban slums,https://www.myscheme.gov.in,,
